10	0.000
50	0.003
100	0.021
300	1.290
500	3.753
700	10.962
1000	39.098
10	0.000
50	0.001
100	0.021
300	0.765
500	3.755
700	10.450
1000	38.461
10	0.000
50	0.005
100	0.027
300	0.743
500	3.728
700	10.501
1000	38.657
10	0.000
50	0.003
100	0.030
300	0.880
500	4.201
700	12.029
1000	47.555
10	0.000
50	0.003
100	0.026
300	1.168
500	3.727
700	10.445
1000	55.351
10	0.000
50	0.003
100	0.023
300	0.973
500	4.429
700	14.775
1000	44.482
10	0.000
50	0.002
100	0.032
300	0.800
500	4.023
700	11.401
1000	41.548
10	0.000
50	0.009
100	0.027
300	0.894
500	3.979
700	11.245
1000	42.753
10	0.000
50	0.003
100	0.024
300	0.920
500	4.666
700	11.250
1000	39.759
10	0.000
50	0.006
100	0.021
300	0.760
500	3.921
700	10.300
1000	35.373
