10	0.018
50	0.003
100	0.021
300	0.462
500	2.205
700	6.310
1000	22.434
10	0.008
50	0.003
100	0.016
300	0.560
500	2.248
700	6.366
1000	24.754
10	0.002
50	0.008
100	0.014
300	0.547
500	2.280
700	5.895
1000	24.489
10	0.002
50	0.008
100	0.014
300	0.465
500	1.900
700	5.543
1000	20.244
10	0.002
50	0.004
100	0.023
300	0.509
500	2.133
700	5.656
1000	21.109
10	0.002
50	0.007
100	0.020
300	0.606
500	2.860
700	6.184
1000	22.268
10	0.004
50	0.002
100	0.014
300	0.526
500	1.943
700	5.578
1000	20.125
10	0.001
50	0.004
100	0.020
300	0.607
500	2.048
700	5.535
1000	20.331
10	0.002
50	0.003
100	0.020
300	0.558
500	2.052
700	6.324
1000	20.499
10	0.001
50	0.003
100	0.014
300	0.405
500	2.050
700	5.568
1000	19.352
